architecture,dataset,k,model_idx,accuracy,rho,dropout_rate,run_id
narrow_11,mnist_6_vs_8,325,43,0.989130437374115,-311709196.8333333,,narrow_11_mnist_6_vs_8_k325_m43
narrow_11,mnist_6_vs_8,325,44,0.989130437374115,-304893839.5,,narrow_11_mnist_6_vs_8_k325_m44
narrow_11,mnist_6_vs_8,325,45,0.988095223903656,-312655813.1666667,,narrow_11_mnist_6_vs_8_k325_m45
narrow_11,mnist_6_vs_8,325,46,0.988095223903656,-323310717.6666667,,narrow_11_mnist_6_vs_8_k325_m46
narrow_11,mnist_6_vs_8,325,47,0.989130437374115,-329866814.8333333,,narrow_11_mnist_6_vs_8_k325_m47
narrow_11,mnist_6_vs_8,325,48,0.9849896430969238,-307009120.3333333,,narrow_11_mnist_6_vs_8_k325_m48
narrow_11,mnist_6_vs_8,325,49,0.9875776171684265,-311539774.3333333,,narrow_11_mnist_6_vs_8_k325_m49
narrow_11,mnist_6_vs_8,325,50,0.990165650844574,-315945085.8333333,,narrow_11_mnist_6_vs_8_k325_m50
narrow_11,mnist_6_vs_8,325,51,0.9886128306388855,-313903196.6666667,,narrow_11_mnist_6_vs_8_k325_m51
narrow_11,mnist_6_vs_8,325,52,0.9896480441093445,-311876636.6666667,,narrow_11_mnist_6_vs_8_k325_m52
narrow_11,mnist_6_vs_8,325,53,0.9860248565673828,-312815072.0,,narrow_11_mnist_6_vs_8_k325_m53
narrow_11,mnist_6_vs_8,325,54,0.989130437374115,-312130346.0,,narrow_11_mnist_6_vs_8_k325_m54
narrow_11,mnist_6_vs_8,325,55,0.9865424633026123,-319505152.3333333,,narrow_11_mnist_6_vs_8_k325_m55
narrow_11,mnist_6_vs_8,325,56,0.9875776171684265,-305755036.1666667,,narrow_11_mnist_6_vs_8_k325_m56
narrow_11,mnist_6_vs_8,325,57,0.9912008047103882,-320604453.5,,narrow_11_mnist_6_vs_8_k325_m57
narrow_11,mnist_6_vs_8,325,58,0.9875776171684265,-310479330.1666667,,narrow_11_mnist_6_vs_8_k325_m58
narrow_11,mnist_6_vs_8,325,59,0.9875776171684265,-322776971.5,,narrow_11_mnist_6_vs_8_k325_m59
narrow_11,mnist_6_vs_8,325,60,0.990165650844574,-311893563.8333333,,narrow_11_mnist_6_vs_8_k325_m60
narrow_11,mnist_6_vs_8,325,61,0.988095223903656,-312159573.0,,narrow_11_mnist_6_vs_8_k325_m61
narrow_11,mnist_6_vs_8,325,62,0.9886128306388855,-315694682.6666667,,narrow_11_mnist_6_vs_8_k325_m62
narrow_11,mnist_6_vs_8,325,63,0.9860248565673828,-306547922.5,,narrow_11_mnist_6_vs_8_k325_m63
narrow_11,mnist_6_vs_8,325,64,0.9865424633026123,-317110756.5,,narrow_11_mnist_6_vs_8_k325_m64
narrow_11,mnist_6_vs_8,325,65,0.9896480441093445,-313228393.0,,narrow_11_mnist_6_vs_8_k325_m65
narrow_11,mnist_6_vs_8,325,66,0.9922360181808472,-322260848.3333333,,narrow_11_mnist_6_vs_8_k325_m66
narrow_11,mnist_6_vs_8,325,67,0.989130437374115,-318658323.6666667,,narrow_11_mnist_6_vs_8_k325_m67
narrow_11,mnist_6_vs_8,325,68,0.9886128306388855,-308087944.5,,narrow_11_mnist_6_vs_8_k325_m68
narrow_11,mnist_6_vs_8,325,69,0.9886128306388855,-312738219.8333333,,narrow_11_mnist_6_vs_8_k325_m69
narrow_11,mnist_6_vs_8,500,0,0.9886128306388855,-727580331.1666666,,narrow_11_mnist_6_vs_8_k500_m0
narrow_11,mnist_6_vs_8,500,1,0.9917184114456177,-714195140.1666666,,narrow_11_mnist_6_vs_8_k500_m1
narrow_11,mnist_6_vs_8,500,2,0.9875776171684265,-741964125.6666666,,narrow_11_mnist_6_vs_8_k500_m2
narrow_11,mnist_6_vs_8,500,3,0.9870600700378418,-743193918.1666666,,narrow_11_mnist_6_vs_8_k500_m3
narrow_11,mnist_6_vs_8,500,4,0.9875776171684265,-729606275.3333334,,narrow_11_mnist_6_vs_8_k500_m4
narrow_11,mnist_6_vs_8,500,5,0.9829192757606506,-732260716.1666666,,narrow_11_mnist_6_vs_8_k500_m5
narrow_11,mnist_6_vs_8,500,6,0.989130437374115,-723300630.3333334,,narrow_11_mnist_6_vs_8_k500_m6
narrow_11,mnist_6_vs_8,500,7,0.9870600700378418,-717110400.5,,narrow_11_mnist_6_vs_8_k500_m7
narrow_11,mnist_6_vs_8,500,8,0.9896480441093445,-728173337.0,,narrow_11_mnist_6_vs_8_k500_m8
narrow_11,mnist_6_vs_8,500,9,0.9912008047103882,-731127540.8333334,,narrow_11_mnist_6_vs_8_k500_m9
narrow_11,mnist_6_vs_8,500,10,0.989130437374115,-723302484.5,,narrow_11_mnist_6_vs_8_k500_m10
narrow_11,mnist_6_vs_8,500,11,0.990165650844574,-722386062.8333334,,narrow_11_mnist_6_vs_8_k500_m11
narrow_11,mnist_6_vs_8,500,12,0.9912008047103882,-743529763.0,,narrow_11_mnist_6_vs_8_k500_m12
narrow_11,mnist_6_vs_8,500,13,0.9870600700378418,-730175884.3333334,,narrow_11_mnist_6_vs_8_k500_m13
narrow_11,mnist_6_vs_8,500,14,0.9886128306388855,-715813736.8333334,,narrow_11_mnist_6_vs_8_k500_m14
narrow_11,mnist_6_vs_8,500,15,0.9896480441093445,-746834530.8333334,,narrow_11_mnist_6_vs_8_k500_m15
narrow_11,mnist_6_vs_8,500,16,0.9912008047103882,-721758825.0,,narrow_11_mnist_6_vs_8_k500_m16
narrow_11,mnist_6_vs_8,500,17,0.9875776171684265,-729978242.3333334,,narrow_11_mnist_6_vs_8_k500_m17
narrow_11,mnist_6_vs_8,500,18,0.989130437374115,-740371622.5,,narrow_11_mnist_6_vs_8_k500_m18
narrow_11,mnist_6_vs_8,500,19,0.990165650844574,-719460906.3333334,,narrow_11_mnist_6_vs_8_k500_m19
narrow_11,mnist_6_vs_8,500,20,0.989130437374115,-721315019.0,,narrow_11_mnist_6_vs_8_k500_m20
narrow_11,mnist_6_vs_8,500,21,0.9855072498321533,-726642780.5,,narrow_11_mnist_6_vs_8_k500_m21
narrow_11,mnist_6_vs_8,500,22,0.990165650844574,-742219929.5,,narrow_11_mnist_6_vs_8_k500_m22
narrow_11,mnist_6_vs_8,500,23,0.990165650844574,-728802011.5,,narrow_11_mnist_6_vs_8_k500_m23
narrow_11,mnist_6_vs_8,500,24,0.988095223903656,-722980155.5,,narrow_11_mnist_6_vs_8_k500_m24
narrow_11,mnist_6_vs_8,500,25,0.9870600700378418,-731340456.8333334,,narrow_11_mnist_6_vs_8_k500_m25
