run_name,architecture,depth,dataset,dataset_type,model_id,k,accuracy,rho,n_layers
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,63,500,0.9860248565673828,-718124656.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,64,500,0.9865424633026123,-732795584.1818181,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,65,500,0.9896480441093445,-737068490.7272727,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,66,500,0.9922360181808472,-744671007.0909091,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,67,500,0.989130437374115,-737311397.2727273,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,68,500,0.9886128306388855,-717221339.0909091,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,69,500,0.9886128306388855,-729742393.4545455,11
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,0,400,0.9919999837875366,-532597400.4,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,1,400,0.9869999885559082,-520744779.6,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,2,400,0.9929999709129333,-534503724.4,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,3,400,0.9894999861717224,-519233280.8,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,4,400,0.9884999990463257,-519970610.8,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,5,400,0.9919999837875366,-505542930.8,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,6,400,0.9909999966621399,-530769635.6,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,7,400,0.9894999861717224,-511693034.4,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,8,400,0.9909999966621399,-524616774.0,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,9,400,0.987500011920929,-522834298.4,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,10,400,0.9900000095367432,-516792051.6,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,11,400,0.9879999756813049,-544854626.8,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,12,400,0.9909999966621399,-540582217.2,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,13,400,0.9904999732971191,-539292448.0,5
wide_5_mnist_1_vs_7,wide,5,mnist_1_vs_7,mnist,14,400,0.9900000095367432,-555614939.2,5
